County,Latitude,Longitude
Arkansas,34.2903,-91.3728
Ashley,33.156,-91.7539
Baxter,36.3355,-92.3814
Benton,36.3729,-94.2088
Boone,36.3116,-93.0176
Bradley,33.4819,-92.1597
Calhoun,33.5025,-92.5396
Carroll,36.3545,-93.5003
Chicot,33.2646,-91.4806
Clark,34.0232,-93.1771
Clay,36.3693,-90.3748
Cleburne,35.4607,-92.026
Cleveland,33.8969,-92.2237
Columbia,33.1285,-93.1779
Conway,35.1582,-92.6913
Craighead,35.8301,-90.6773
Crawford,35.5761,-94.3154
Crittenden,35.2067,-90.3748
Cross,35.2999,-90.8294
Dallas,33.9887,-92.6993
Desha,33.8103,-91.2852
Drew,33.5468,-91.7368
Faulkner,35.1891,-92.3341
Franklin,35.5187,-93.9002
Fulton,36.3794,-91.8318
Garland,34.5559,-93.177
Grant,34.2903,-92.4209
Greene,36.1168,-90.5636
Hempstead,33.7191,-93.6623
Hot Spring,34.3175,-92.9577
Howard,34.1315,-94.0296
Independence,35.7689,-91.6393
Izard,36.1617,-91.9099
Jackson,35.6412,-91.1353
Jefferson,34.2274,-91.9099
Johnson,35.6021,-93.5003
Lafayette,33.2173,-93.6213
Lawrence,36.0716,-91.2891
Lee,34.7887,-90.8294
Lincoln,33.9486,-91.7393
Little River,33.6801,-94.1923
Logan,35.2475,-93.6623
Lonoke,34.7556,-91.8842
Madison,36.0106,-93.6623
Marion,36.3195,-92.6984
Miller,33.3336,-93.865
Mississippi,35.7478,-90.0747
Monroe,34.9293,-91.1353
Montgomery,34.6199,-93.6623
Nevada,33.7016,-93.3389
Newton,36.0106,-93.3501
Ouachita,33.5535,-92.8829
Perry,34.9601,-92.9742
Phillips,34.4618,-90.8675
Pike,34.1875,-93.6623
Poinsett,35.6071,-90.6394
Polk,34.5269,-94.1514
Pope,35.4406,-93.0176
Prairie,34.6401,-91.5984
Pulaski,34.7465,-92.2896
Randolph,36.322,-91.0242
Saline,34.5708,-92.5396
Scott,34.8856,-94.1514
Searcy,35.9702,-92.6984
Sebastian,35.2475,-94.3154
Sevier,34.0349,-94.2744
Sharp,36.1676,-91.4435
St. Francis,34.9561,-90.78
Stone,35.8754,-92.2237
Union,33.1935,-92.5396
Van Buren,35.626,-92.5396
Washington,36.0694,-94.166
White,35.3212,-91.7539
Woodruff,35.2087,-91.1353
Yell,35.0046,-93.3389
