Bus,,,,,,,,,,,,,,,,,,,,,,,
Number,Name,SubNumber,AreaName,NomkV,BusCat,Vpu,kV,Vangle,LoadMW,SubIDExtra,LoadMvar,GenMW,GenMvar,ShuntMvar,ActG,ActB,AreaNumber,ZoneNumber,City,County,State,SubLatitude,SubLongitude
110001,MARION 1 1,1,AR,161,PQ,1.02679,165.313,-25.36,,1,,,,,0,0,1,1,Abbeville,Lafayette County,Mississippi,33.03,-92.3
110002,MARION 1 2,1,AR,138,PQ,1.02532,141.494,-28.82,,1,,,,,0,0,1,1,Abbeville,Vermilion Parish,Louisiana,33.03,-92.3
110003,MARION 1 3,1,AR,115,PQ,1.02319,117.666,-29.69,8.6,1,2.5,,,,0,0,1,1,Abbeville,Vermilion Parish,Louisiana,33.03,-92.3
110004,MARION 1 4,1,AR,13.8,PQ,1.01916,14.064,-30.44,7.1,1,1.8,,,,0,0,1,1,Abbeville,Lafayette County,Mississippi,33.03,-92.3
110005,MARION 1 5,1,AR,13.8,PQ,1.02342,14.123,-29.65,,1,,,,,0,0,1,1,Abbeville,Lafayette County,Mississippi,33.03,-92.3
110006,MARION 1 6,1,AR,1,PQ,1.02342,1.023,-29.65,,1,,,,,0,0,1,1,Abbeville,Lafayette County,Mississippi,33.03,-92.3
110007,ROSEDALE 1 1,2,AR,115,PQ,1.03736,119.297,-30.57,3.7,2,1.1,,,,0,0,1,1,Abbotsford,Marathon County,Wisconsin,33.9,-91.05
110008,ROSEDALE 1 2,2,AR,13.8,PQ,1.03736,14.316,-30.57,,2,,,,,0,0,1,1,Abee,Posey County,Indiana,33.9,-91.05
110009,ROSEDALE 1 3,2,AR,13.8,PQ,1.03736,14.316,-30.57,,2,,,,,0,0,1,1,Abee,Posey County,Indiana,33.9,-91.05
110010,ROSEDALE 1 4,2,AR,1,PQ,1.03736,1.037,-30.57,,2,,,,,0,0,1,1,Abee,Posey County,Indiana,33.9,-91.05
110011,ROSEDALE 2 1,3,AR,115,PQ,1.03753,119.315,-31.61,1.7,3,0.4,,,,0,0,1,1,Abee,Posey County,Indiana,33.83,-90.96
110012,ROSEDALE 2 2,3,AR,13.8,PQ,1.03693,14.31,-31.83,2.9,3,0.3,,,,0,0,1,1,Abee,Posey County,Indiana,33.83,-90.96
110013,ROSEDALE 2 3,3,AR,13.8,PQ,1.03754,14.318,-31.6,,3,,,,,0,0,1,1,Abee,Posey County,Indiana,33.83,-90.96
110014,ROSEDALE 2 4,3,AR,1,PQ,1.03754,1.038,-31.6,,3,,,,,0,0,1,1,Abee,Posey County,Indiana,33.83,-90.96
110015,ROSEDALE 3 1,4,AR,115,PQ,1.03741,119.302,-30.39,2.7,4,0.3,,,,0,0,1,1,Abel,Saunders County,Nebraska,33.93,-91.03
110016,ROSEDALE 3 2,4,AR,13.8,PQ,1.03711,14.312,-30.57,2,4,0.1,,,,0,0,1,1,Abell,Carson County,Texas,33.93,-91.03
110017,ROSEDALE 3 3,4,AR,13.8,PQ,1.0374,14.316,-30.4,,4,,,,,0,0,1,1,Abell,Carson County,Texas,33.93,-91.03
110018,ROSEDALE 3 4,4,AR,1,PQ,1.0374,1.037,-30.4,,4,,,,,0,0,1,1,Abell,Carson County,Texas,33.93,-91.03
110019,PROTEM 1 1,5,AR,115,PQ,1.01505,116.731,-18.39,1.4,5,0.2,,,3.64,0,0,1,1,Abell,Carson County,Texas,36.5,-92.87
110020,PROTEM 1 2,5,AR,24,PQ,1.01419,24.341,-18.55,1.6,5,0.4,,,,0,0,1,1,Abell,Carson County,Texas,36.5,-92.87
110021,PROTEM 1 3,5,AR,24,PQ,1.015,24.36,-18.4,,5,,,,,0,0,1,1,Abell,Carson County,Texas,36.5,-92.87
110022,PROTEM 1 4,5,AR,1,PQ,1.015,1.015,-18.4,,5,,,,,0,0,1,1,Aberdeen,Brown County,South Dakota,36.5,-92.87
110023,PROTEM 2 1,6,AR,115,PQ,1.01715,116.972,-18.96,2.1,6,1.9,,,,0,0,1,1,Aberdeen,Brown County,South Dakota,36.5,-92.75
110024,PROTEM 2 2,6,AR,13.8,PQ,1.01631,14.025,-19.1,2.4,6,0.7,,,,0,0,1,1,Aberdeen,Brown County,South Dakota,36.5,-92.75
110025,PROTEM 2 3,6,AR,13.8,PQ,1.01721,14.038,-18.95,,6,,,,,0,0,1,1,Aberdeen,Brown County,South Dakota,36.5,-92.75
110026,PROTEM 2 4,6,AR,1,PQ,1.01721,1.017,-18.95,,6,,,,,0,0,1,1,Aberdeen,Brown County,South Dakota,36.5,-92.75
110027,PINE BLUFF 1 1,7,AR,500,PQ,1.03014,515.072,-21.05,,7,,,,,0,0,1,1,Aberdeen,Brown County,South Dakota,34.1,-92.15
110028,PINE BLUFF 1 2,7,AR,161,PQ,1.02513,165.046,-21.79,,7,,,,,0,0,1,1,Aberdeen,Brown County,South Dakota,34.1,-92.15
110029,PINE BLUFF 1 3,7,AR,115,PQ,1.01654,116.903,-25.04,67.4,7,36,,,,0,0,1,1,Aberdeen,Brown County,South Dakota,34.1,-92.15
110030,PINE BLUFF 1 4,7,AR,18,PQ,1.01654,18.298,-25.04,,7,,,,,0,0,1,1,Aberdeen,Brown County,South Dakota,34.1,-92.15
110031,PINE BLUFF 1 5,7,AR,18,PQ,1.01654,18.298,-25.04,,7,,,,,0,0,1,1,Abernathy,Hale County,Texas,34.1,-92.15
110032,PINE BLUFF 1 6,7,AR,1,PQ,1.01654,1.017,-25.04,,7,,,,,0,0,1,1,Abernathy,Hale County,Texas,34.1,-92.15
110033,PINE BLUFF 2 1,8,AR,115,PQ,1.01395,116.605,-24.92,27.3,8,9.8,,,,0,0,1,1,Abernathy,Hale County,Texas,34.13,-92.05
110034,PINE BLUFF 2 2,8,AR,18,PQ,1.01395,18.251,-24.92,,8,,,,,0,0,1,1,Abernathy,Hale County,Texas,34.13,-92.05
110035,PINE BLUFF 2 3,8,AR,18,PQ,1.01395,18.251,-24.92,,8,,,,,0,0,1,1,Abernathy,Hale County,Texas,34.13,-92.05
110036,PINE BLUFF 2 4,8,AR,1,PQ,1.01395,1.014,-24.92,,8,,,,,0,0,1,1,Abernathy,Hale County,Texas,34.13,-92.05
110037,PINE BLUFF 3 1,9,AR,161,PQ,1.01647,163.651,-22.54,,9,,,,-155.45,0,0,1,1,Abernathy,Hale County,Texas,34.1,-92.06
110038,PINE BLUFF 3 2,9,AR,115,PQ,1.01392,116.601,-24.86,33.9,9,4.7,,,,0,0,1,1,Abernathy,Hale County,Texas,34.1,-92.06
110039,PINE BLUFF 3 3,9,AR,24,PQ,1.00836,24.201,-26.4,32.6,9,4.8,,,,0,0,1,1,Abernathy,Hale County,Texas,34.1,-92.06
