Gen
Number of Bus,Name of Bus,ID,Area Name of Gen,AGC,Fast Start,OPF Fast Start Status,OPF MW Control,Gen MW,Cost Shift $/MWh,Cost Multiplier,Cost $/Hr (generation only),MW Marg. Cost of Bus,IC for OPF,Initial MW,Initial Cost,Delta MW,Delta Cost,Min MW,Max MW,Cost Model,# Cost Curve Points,Fuel Type,Profit $/hr
110864,Carpenter 3,1,AR,YES,NO,,If Agcable,12.4,0.000,1.000,61.90,-1.42,5.00,12.4,61.90,0.0,-0.00,12.4,28.0,Piecewise Linear,5,WAT (Water),-79.48
110864,Carpenter 3,2,AR,YES,NO,,If Agcable,3.3,0.000,1.000,16.17,-1.42,4.96,3.3,16.17,0.0,0.00,3.3,28.0,Piecewise Linear,5,WAT (Water),-20.80
110868,Lake Catherine 4,1,AR,YES,NO,,If Agcable,220.3,0.000,1.000,32105.47,-1.43,143.72,220.3,32105.47,0.0,0.00,220.3,552.5,Piecewise Linear,5,NG (Natural Gas),-32419.87
110870,Osceola (AR) 2,1,AR,YES,NO,,If Agcable,0.7,0.000,1.000,161.06,-1.50,216.85,0.7,161.06,0.0,-0.00,0.7,1.6,Piecewise Linear,5,DFO (Distillate Fuel Oil),-162.17
110872,Remmel 2,1,AR,YES,NO,,If Agcable,0.4,0.000,1.000,1.90,-1.43,5.01,0.4,1.90,0.0,0.00,0.4,3.0,Piecewise Linear,5,WAT (Water),-2.45
110872,Remmel 2,2,AR,YES,NO,,If Agcable,0.4,0.000,1.000,1.95,-1.43,5.01,0.4,1.95,0.0,0.00,0.4,3.0,Piecewise Linear,5,WAT (Water),-2.51
110873,Remmel 3,1,AR,YES,NO,,If Agcable,0.4,0.000,1.000,1.95,-1.43,5.01,0.4,1.95,0.0,0.00,0.4,3.0,Piecewise Linear,5,WAT (Water),-2.51
110876,Degray 3,1,AR,YES,NO,,If Agcable,4.7,0.000,1.000,22.92,-1.42,4.93,4.7,22.92,0.0,0.00,4.7,40.0,Piecewise Linear,5,WAT (Water),-29.54
110876,Degray 3,2,AR,YES,NO,,If Agcable,10.3,0.000,1.000,92.98,-1.42,9.01,10.3,92.98,0.0,-0.00,10.3,28.0,Piecewise Linear,5,WAT (Water),-107.66
110879,Narrows (AR) 3,1,AR,YES,NO,,If Agcable,3.1,0.000,1.000,15.80,-1.40,5.08,3.1,15.80,0.0,0.00,3.1,8.5,Piecewise Linear,5,WAT (Water),-20.15
110880,Narrows (AR) 4,1,AR,YES,NO,,If Agcable,3.6,0.000,1.000,18.33,-1.40,5.05,3.6,18.33,0.0,-0.00,3.6,8.5,Piecewise Linear,5,WAT (Water),-23.41
110881,Narrows (AR) 5,1,AR,YES,NO,,If Agcable,2.7,0.000,1.000,13.78,-1.40,5.01,2.7,13.78,0.0,0.00,2.7,8.5,Piecewise Linear,5,WAT (Water),-17.62
110885,Blakely Mountain 4,1,AR,YES,NO,,If Agcable,5.3,0.000,1.000,26.44,-1.42,4.96,5.3,26.44,0.0,0.00,5.3,37.5,Piecewise Linear,5,WAT (Water),-34.01
110885,Blakely Mountain 4,2,AR,YES,NO,,If Agcable,13.4,0.000,1.000,66.72,-1.42,4.99,13.4,66.72,0.0,0.00,13.4,37.5,Piecewise Linear,5,WAT (Water),-85.72
110889,Thomas Fitzhugh 4,1,AR,YES,NO,,If Agcable,25.2,0.000,1.000,924.69,-1.38,34.86,25.2,924.69,0.0,-0.00,25.2,59.0,Piecewise Linear,5,NG (Natural Gas),-959.47
110890,Thomas Fitzhugh 5,1,AR,YES,NO,,If Agcable,56.4,0.000,1.000,3824.79,-1.38,64.95,56.4,3824.79,0.0,0.00,56.4,126.0,Piecewise Linear,5,NG (Natural Gas),-3902.78
110894,Carl Bailey 4,1,AR,YES,NO,,If Agcable,18.5,0.000,1.000,645.15,-1.48,29.63,18.5,645.15,0.0,-0.00,18.5,120.0,Piecewise Linear,5,NG (Natural Gas),-672.62
110898,McClellan (AR) 4,1,AR,YES,NO,,If Agcable,67.7,0.000,1.000,2419.53,-1.45,34.13,67.7,2419.53,0.0,0.00,67.7,136.0,Piecewise Linear,5,NG (Natural Gas),-2517.52
110902,White Bluff 4,1,AR,YES,NO,,If Agcable,141.2,0.000,1.000,4889.87,-1.45,21.46,141.2,4889.87,0.0,-0.00,141.2,900.0,Piecewise Linear,5,SUB (Subbituminous Coal),-5094.04
110903,White Bluff 5,1,AR,YES,NO,,If Agcable,231.2,0.000,1.000,7892.08,-1.45,26.09,231.2,7892.08,0.0,0.00,231.2,900.0,Piecewise Linear,5,SUB (Subbituminous Coal),-8226.38
110910,Flint Creek 7,1,AR,YES,NO,,If Agcable,125.8,0.000,1.000,3825.80,-1.35,21.25,125.8,3825.80,0.0,-0.00,125.8,558.0,Piecewise Linear,5,SUB (Subbituminous Coal),-3995.46
110914,Independence Steam Electric Station 4,1,AR,YES,NO,,If Agcable,202.6,0.000,1.000,6868.80,-1.48,24.72,202.6,6868.80,0.0,0.00,202.6,900.0,Piecewise Linear,5,SUB (Subbituminous Coal),-7169.26
110915,Independence Steam Electric Station 5,1,AR,YES,NO,,If Agcable,164.7,0.000,1.000,5615.36,-1.48,22.80,164.7,5615.36,0.0,0.00,164.7,900.0,Piecewise Linear,5,SUB (Subbituminous Coal),-5859.59
110918,Ellis Hydro 3,1,AR,YES,NO,,If Agcable,1.9,0.000,1.000,9.48,-1.35,4.99,1.9,9.48,0.0,0.00,1.9,10.8,Piecewise Linear,5,WAT (Water),-12.04
110918,Ellis Hydro 3,2,AR,YES,NO,,If Agcable,4.9,0.000,1.000,24.64,-1.35,5.07,4.9,24.64,0.0,0.00,4.9,10.8,Piecewise Linear,5,WAT (Water),-31.18
110919,Ellis Hydro 4,1,AR,YES,NO,,If Agcable,4.1,0.000,1.000,20.44,-1.35,5.01,4.1,20.44,0.0,0.00,4.1,10.8,Piecewise Linear,5,WAT (Water),-25.94
110922,Whillock 3,1,AR,YES,NO,,If Agcable,3.7,0.000,1.000,18.87,-1.44,5.10,3.7,18.87,0.0,-0.00,3.7,10.8,Piecewise Linear,5,WAT (Water),-24.18
110922,Whillock 3,2,AR,YES,NO,,If Agcable,3.3,0.000,1.000,16.40,-1.44,5.00,3.3,16.40,0.0,0.00,3.3,10.8,Piecewise Linear,5,WAT (Water),-21.11
110923,Whillock 4,1,AR,YES,NO,,If Agcable,3.9,0.000,1.000,19.44,-1.44,5.01,3.9,19.44,0.0,0.00,3.9,10.8,Piecewise Linear,5,WAT (Water),-25.01
110925,Murray 2,1,AR,YES,NO,,If Agcable,9.7,0.000,1.000,48.40,-1.48,5.00,9.7,48.40,0.0,-0.00,9.7,22.7,Piecewise Linear,5,WAT (Water),-62.69
110925,Murray 2,2,AR,YES,NO,,If Agcable,11.1,0.000,1.000,56.03,-1.48,5.03,11.1,56.03,0.0,0.00,11.1,22.7,Piecewise Linear,5,WAT (Water),-72.48
110929,Dam 2 4,1,AR,YES,NO,,If Agcable,16.1,0.000,1.000,80.40,-1.47,5.00,16.1,80.40,0.0,0.00,16.1,34.2,Piecewise Linear,5,WAT (Water),-104.00
110929,Dam 2 4,2,AR,YES,NO,,If Agcable,3.7,0.000,1.000,18.50,-1.47,4.96,3.7,18.50,0.0,0.00,3.7,34.2,Piecewise Linear,5,WAT (Water),-23.97
110930,Dam 2 5,1,AR,YES,NO,,If Agcable,5.0,0.000,1.000,25.00,-1.47,4.96,5.0,25.00,0.0,0.00,5.0,34.2,Piecewise Linear,5,WAT (Water),-32.40
110933,Fulton (AR) 3,1,AR,YES,NO,,If Agcable,38.7,0.000,1.000,2678.86,-1.43,64.19,38.7,2678.86,0.0,-0.00,38.7,154.8,Piecewise Linear,5,NG (Natural Gas),-2734.11
110937,Arkansas Nuclear One 4,1,AR,YES,NO,,If Agcable,183.1,0.000,1.000,2143.75,-1.40,11.71,183.1,2143.75,0.0,-0.00,183.1,902.5,Piecewise Linear,5,NUC (Nuclear),-2400.79
110938,Arkansas Nuclear One 5,1,AR,YES,NO,,If Agcable,128.9,0.000,1.000,1505.08,-1.40,11.68,128.9,1505.08,0.0,-0.00,128.9,942.5,Piecewise Linear,5,NUC (Nuclear),-1686.02
110940,Fourche Creek Wastewater 2,1,AR,YES,NO,,If Agcable,0.6,0.000,1.000,17.84,-1.47,28.77,0.6,17.84,0.0,0.00,0.6,1.3,Piecewise Linear,5,OBG (Other Biomass Gas),-18.75
110942,Georgia-Pacific Crossett LLC 2,1,AR,YES,NO,,If Agcable,6.0,0.000,1.000,117.09,-1.49,19.45,6.0,117.09,0.0,-0.00,6.0,25.0,Piecewise Linear,5,BLQ (Black Liquor),-126.08
110944,Pine Bluff Mill 2,1,AR,YES,NO,,If Agcable,4.9,0.000,1.000,94.33,-1.45,19.33,4.9,94.33,0.0,-0.00,4.9,40.0,Piecewise Linear,5,BLQ (Black Liquor),-101.40
110944,Pine Bluff Mill 2,2,AR,YES,NO,,If Agcable,7.6,0.000,1.000,147.93,-1.45,19.49,7.6,147.93,0.0,-0.00,7.6,20.0,Piecewise Linear,5,BLQ (Black Liquor),-158.93
110945,Pine Bluff Mill 3,1,AR,YES,NO,,If Agcable,12.3,0.000,1.000,239.97,-1.45,19.51,12.3,239.97,0.0,0.00,12.3,25.0,Piecewise Linear,5,BLQ (Black Liquor),-257.81
110950,Clearwater Paper APP CB 5,1,AR,YES,NO,,If Agcable,8.7,0.000,1.000,169.11,-1.48,19.46,8.7,169.11,0.0,0.00,8.7,28.0,Piecewise Linear,5,BLQ (Black Liquor),-181.95
110954,Ashdown 4,1,AR,YES,NO,,If Agcable,4.9,0.000,1.000,94.82,-1.43,19.47,4.9,94.82,0.0,-0.00,4.9,19.5,Piecewise Linear,5,BLQ (Black Liquor),-101.78
110954,Ashdown 4,2,AR,YES,NO,,If Agcable,17.5,0.000,1.000,339.75,-1.43,19.47,17.5,339.75,0.0,-0.00,17.5,47.0,Piecewise Linear,5,BLQ (Black Liquor),-364.69
110955,Ashdown 5,1,AR,YES,NO,,If Agcable,19.9,0.000,1.000,387.27,-1.43,19.50,19.9,387.27,0.0,-0.00,19.9,45.0,Piecewise Linear,5,BLQ (Black Liquor),-415.65
110955,Ashdown 5,2,AR,YES,NO,,If Agcable,7.9,0.000,1.000,153.65,-1.43,19.40,7.9,153.65,0.0,0.00,7.9,45.0,Piecewise Linear,5,BLQ (Black Liquor),-164.97
110957,Lee Creek Water Treatment Facility 2,1,AR,YES,NO,,If Agcable,0.4,0.000,1.000,2.59,-1.34,6.03,0.4,2.59,0.0,0.00,0.4,1.3,Piecewise Linear,5,WAT (Water),-3.17
110961,Pine Bluff Energy Center 4,1,AR,YES,NO,,If Agcable,58.6,0.000,1.000,3916.19,-1.45,62.91,58.6,3916.19,0.0,0.00,58.6,180.0,Piecewise Linear,5,NG (Natural Gas),-4001.31
110962,Pine Bluff Energy Center 5,1,AR,YES,NO,,If Agcable,13.4,0.000,1.000,460.25,-1.45,31.00,13.4,460.25,0.0,0.00,13.4,56.0,Piecewise Linear,5,NG (Natural Gas),-479.71
110968,Harry L. Oswald 6,1,AR,YES,NO,,If Agcable,11.6,0.000,1.000,946.50,-1.44,75.72,11.6,946.50,0.0,0.00,11.6,51.0,Piecewise Linear,5,NG (Natural Gas),-963.30
110969,Harry L. Oswald 7,1,AR,YES,NO,,If Agcable,24.1,0.000,1.000,2425.71,-1.44,97.90,24.1,2425.71,0.0,0.00,24.1,51.0,Piecewise Linear,5,NG (Natural Gas),-2460.50
110970,Harry L. Oswald 8,1,AR,YES,NO,,If Agcable,9.5,0.000,1.000,748.71,-1.44,71.81,9.5,748.71,0.0,0.00,9.5,51.0,Piecewise Linear,5,NG (Natural Gas),-762.46
110971,Harry L. Oswald 9,1,AR,YES,NO,,If Agcable,14.6,0.000,1.000,1227.56,-1.44,79.89,14.6,1227.56,0.0,-0.00,14.6,51.0,Piecewise Linear,5,NG (Natural Gas),-1248.56
110972,Harry L. Oswald 10,1,AR,YES,NO,,If Agcable,12.5,0.000,1.000,1024.05,-1.44,76.53,12.5,1024.05,0.0,-0.00,12.5,51.0,Piecewise Linear,5,NG (Natural Gas),-1042.14
110973,Harry L. Oswald 11,1,AR,YES,NO,,If Agcable,9.7,0.000,1.000,758.08,-1.44,71.37,9.7,758.08,0.0,0.00,9.7,51.0,Piecewise Linear,5,NG (Natural Gas),-772.10
110974,Harry L. Oswald 12,1,AR,YES,NO,,If Agcable,36.9,0.000,1.000,3582.62,-1.44,94.26,36.9,3582.62,0.0,-0.00,36.9,83.5,Piecewise Linear,5,NG (Natural Gas),-3635.83
110975,Harry L. Oswald 13,1,AR,YES,NO,,If Agcable,47.0,0.000,1.000,1875.56,-1.44,38.10,47.0,1875.56,0.0,0.00,47.0,105.0,Piecewise Linear,5,NG (Natural Gas),-1943.37
