Interface
Number,Name,Interface MW Flow,MW Limit,Percent,Monitor Direction,Monitor Both Directions,Lim MW A,Lim MW B,Lim MW C,Lim Neg MW A,Lim Neg MW B,Lim Neg MW C,Has Contingency,Contingent MW Flow,Base MW Flow
1,AR-LA,4132.1,21020.6,19.66,FROM -> TO,NO,21020.6,0.0,0.0,,,,No,0.0,4132.1
2,AR-MO,-1487.3,20646.4,-7.20,FROM -> TO,NO,20646.4,0.0,0.0,,,,No,0.0,-1487.3
3,AR-MS,2318.8,15228.3,15.23,FROM -> TO,NO,15228.3,0.0,0.0,,,,No,0.0,2318.8
4,AR-OK,-5810.2,17090.7,-34.00,FROM -> TO,NO,17090.7,0.0,0.0,,,,No,0.0,-5810.2
5,AR-TX,-55.0,164.5,-33.39,FROM -> TO,NO,164.5,0.0,0.0,,,,No,0.0,-55.0
6,IA-IL,764.2,19161.8,3.99,FROM -> TO,NO,19161.8,0.0,0.0,,,,No,0.0,764.2
7,IA-MN,920.8,9283.7,9.92,FROM -> TO,NO,9283.7,0.0,0.0,,,,No,0.0,920.8
8,IA-MO,755.6,9394.6,8.04,FROM -> TO,NO,9394.6,0.0,0.0,,,,No,0.0,755.6
9,IA-NE,-0.0,9360.2,-0.00,FROM -> TO,NO,9360.2,0.0,0.0,,,,No,0.0,-0.0
10,IA-SD,-110.8,2204.9,-5.02,FROM -> TO,NO,2204.9,0.0,0.0,,,,No,0.0,-110.8
11,IA-WI,1108.5,6906.1,16.05,FROM -> TO,NO,6906.1,0.0,0.0,,,,No,0.0,1108.5
12,IL-IN,4040.8,42181.2,9.58,FROM -> TO,NO,42181.2,0.0,0.0,,,,No,0.0,4040.8
13,IL-KY,82.1,3103.7,2.65,FROM -> TO,NO,3103.7,0.0,0.0,,,,No,0.0,82.1
14,IL-MO,-600.0,40259.1,-1.49,FROM -> TO,NO,40259.1,0.0,0.0,,,,No,0.0,-600.0
15,IL-WI,-1630.6,22966.9,-7.10,FROM -> TO,NO,22966.9,0.0,0.0,,,,No,0.0,-1630.6
16,IN-KY,-530.8,10317.5,-5.14,FROM -> TO,NO,10317.5,0.0,0.0,,,,No,0.0,-530.8
17,IN-MI,3318.3,18524.9,17.91,FROM -> TO,NO,18524.9,0.0,0.0,,,,No,0.0,3318.3
18,KS-MO,1903.3,14636.4,13.00,FROM -> TO,NO,14636.4,0.0,0.0,,,,No,0.0,1903.3
19,KS-NE,413.5,12246.8,3.38,FROM -> TO,NO,12246.8,0.0,0.0,,,,No,0.0,413.5
20,KS-OK,414.6,13995.9,2.96,FROM -> TO,NO,13995.9,0.0,0.0,,,,No,0.0,414.6
21,KS-TX,-48.7,170.1,-28.60,FROM -> TO,NO,170.1,0.0,0.0,,,,No,0.0,-48.7
22,KY-MO,-34.0,602.4,-5.64,FROM -> TO,NO,602.4,0.0,0.0,,,,No,0.0,-34.0
23,LA-MS,508.8,41213.4,1.23,FROM -> TO,NO,41213.4,0.0,0.0,,,,No,0.0,508.8
24,LA-OK,-344.5,944.4,-36.47,FROM -> TO,NO,944.4,0.0,0.0,,,,No,0.0,-344.5
25,LA-TX,1073.8,8871.6,12.10,FROM -> TO,NO,8871.6,0.0,0.0,,,,No,0.0,1073.8
26,MI-MN,-59.8,351.9,-16.99,FROM -> TO,NO,351.9,0.0,0.0,,,,No,0.0,-59.8
27,MI-WI,-484.8,8671.9,-5.59,FROM -> TO,NO,8671.9,0.0,0.0,,,,No,0.0,-484.8
28,MN-ND,-723.2,6349.3,-11.39,FROM -> TO,NO,6349.3,0.0,0.0,,,,No,0.0,-723.2
29,MN-SD,-2080.5,12946.2,-16.07,FROM -> TO,NO,12946.2,0.0,0.0,,,,No,0.0,-2080.5
30,MN-WI,3658.0,17544.7,20.85,FROM -> TO,NO,17544.7,0.0,0.0,,,,No,0.0,3658.0
31,MO-NE,-449.8,3894.5,-11.55,FROM -> TO,NO,3894.5,0.0,0.0,,,,No,0.0,-449.8
32,MO-OK,-615.2,3043.0,-20.22,FROM -> TO,NO,3043.0,0.0,0.0,,,,No,0.0,-615.2
33,MT-ND,-242.6,3454.9,-7.02,FROM -> TO,NO,3454.9,0.0,0.0,,,,No,0.0,-242.6
34,MT-SD,61.6,772.1,7.98,FROM -> TO,NO,772.1,0.0,0.0,,,,No,0.0,61.6
35,ND-SD,1216.4,13243.8,9.18,FROM -> TO,NO,13243.8,0.0,0.0,,,,No,0.0,1216.4
36,NE-SD,317.0,12766.3,2.48,FROM -> TO,NO,12766.3,0.0,0.0,,,,No,0.0,317.0
37,NM-TX,442.6,6649.8,6.66,FROM -> TO,NO,6649.8,0.0,0.0,,,,No,0.0,442.6
38,OK-TX,-2125.5,12692.4,-16.75,FROM -> TO,NO,12692.4,0.0,0.0,,,,No,0.0,-2125.5
