Load
BusNum,BusName,ID,MW,SMW,Mvar,SMvar,AreaName
110003,MARION 1 3,D,8.60,8.60,2.50,2.500,AR
110004,MARION 1 4,1,7.10,7.10,1.80,1.800,AR
110007,ROSEDALE 1 1,D,3.70,3.70,1.10,1.100,AR
110011,ROSEDALE 2 1,D,1.70,1.70,0.40,0.400,AR
110012,ROSEDALE 2 2,1,2.90,2.90,0.30,0.300,AR
110015,ROSEDALE 3 1,D,2.70,2.70,0.30,0.300,AR
110016,ROSEDALE 3 2,1,2.00,2.00,0.10,0.100,AR
110019,PROTEM 1 1,D,1.40,1.40,0.20,0.200,AR
110020,PROTEM 1 2,1,1.60,1.60,0.40,0.400,AR
110023,PROTEM 2 1,D,2.10,2.10,1.90,1.900,AR
110024,PROTEM 2 2,1,2.40,2.40,0.70,0.700,AR
110029,PINE BLUFF 1 3,D,67.40,67.40,36.00,36.000,AR
110033,PINE BLUFF 2 1,D,27.30,27.30,9.80,9.800,AR
110038,PINE BLUFF 3 2,D,33.90,33.90,4.70,4.700,AR
110039,PINE BLUFF 3 3,1,32.60,32.60,4.80,4.800,AR
110042,BANKS 1,D,2.80,2.80,0.60,0.600,AR
110043,BANKS 2,1,3.00,3.00,1.30,1.300,AR
110046,CROSSETT 1 1,D,14.90,14.90,2.60,2.600,AR
110052,CROSSETT 2 3,D,12.10,12.10,4.00,4.000,AR
110058,CROSSETT 3 1,D,16.90,16.90,2.90,2.900,AR
110062,DUMAS 1 1,D,7.00,7.00,1.70,1.700,AR
110067,DUMAS 2 2,D,5.80,5.80,3.40,3.400,AR
110071,DUMAS 3 1,D,6.80,6.80,0.80,0.800,AR
110075,GRADY 1 1,D,4.60,4.60,0.30,0.300,AR
110076,GRADY 1 2,1,3.70,3.70,2.10,2.100,AR
110080,GRADY 2 2,D,9.20,9.20,0.30,0.300,AR
110081,GRADY 2 3,1,10.30,10.30,2.60,2.600,AR
110084,HAMBURG 2 1,D,9.30,9.30,4.20,4.200,AR
110090,HAMBURG 3 3,D,9.20,9.20,4.00,4.000,AR
110094,HAMBURG 4 1,D,10.10,10.10,1.20,1.200,AR
110098,HERMITAGE 1 1,D,2.80,2.80,0.50,0.500,AR
110099,HERMITAGE 1 2,1,2.00,2.00,0.30,0.300,AR
110102,HERMITAGE 2 1,D,2.30,2.30,0.20,0.200,AR
110106,HERMITAGE 3 1,D,2.30,2.30,0.60,0.600,AR
110110,KINGSLAND 1 1,D,0.90,0.90,0.20,0.200,AR
110114,KINGSLAND 2 1,D,0.90,0.90,0.10,0.100,AR
110118,KINGSLAND 3 1,D,2.20,2.20,0.40,0.400,AR
110119,KINGSLAND 3 2,1,2.10,2.10,0.40,0.400,AR
110122,LAKE VILLAGE 1 1,D,6.20,6.20,2.90,2.900,AR
110123,LAKE VILLAGE 1 2,1,6.90,6.90,0.90,0.900,AR
110126,LAKE VILLAGE 2 1,D,6.40,6.40,2.10,2.100,AR
110127,LAKE VILLAGE 2 2,1,6.40,6.40,1.50,1.500,AR
110131,LAKE VILLAGE 3 2,D,6.50,6.50,2.90,2.900,AR
110132,LAKE VILLAGE 3 3,1,7.40,7.40,1.30,1.300,AR
110135,MC GEHEE 1 1,D,5.50,5.50,1.20,1.200,AR
110139,MC GEHEE 2 1,D,6.00,6.00,1.40,1.400,AR
110140,MC GEHEE 2 2,1,5.90,5.90,1.90,1.900,AR
110143,MC GEHEE 3 1,D,6.20,6.20,3.20,3.200,AR
110147,MONTICELLO 5 1,D,14.60,14.60,3.60,3.600,AR
110148,MONTICELLO 5 2,1,11.40,11.40,5.80,5.800,AR
110151,MONTICELLO 6 1,D,11.20,11.20,2.50,2.500,AR
110155,MONTICELLO 7 1,D,10.00,10.00,3.60,3.600,AR
110156,MONTICELLO 7 2,1,13.50,13.50,4.50,4.500,AR
110160,MONTICELLO 8 2,D,12.00,12.00,3.70,3.700,AR
110161,MONTICELLO 8 3,1,11.60,11.60,1.20,1.200,AR
110164,MONTROSE 1 1,D,1.90,1.90,0.80,0.800,AR
110168,NEW EDINBURG 1,D,2.00,2.00,0.50,0.500,AR
110172,STAR CITY 1 1,D,8.80,8.80,3.00,3.000,AR
110177,STAR CITY 2 2,D,8.40,8.40,1.40,1.400,AR
110181,STAR CITY 3 1,D,7.60,7.60,1.90,1.900,AR
110185,WARREN 1 1,D,9.00,9.00,2.60,2.600,AR
110186,WARREN 1 2,1,9.80,9.80,0.50,0.500,AR
110189,WARREN 2 1,D,9.20,9.20,4.40,4.400,AR
110190,WARREN 2 2,1,10.30,10.30,2.40,2.400,AR
110194,WARREN 3 2,D,8.30,8.30,0.90,0.900,AR
110198,WATSON 1 1,D,2.30,2.30,0.90,0.900,AR
110199,WATSON 1 2,1,2.20,2.20,0.60,0.600,AR
110203,BEARDEN 1 2,D,6.30,6.30,1.50,1.500,AR
110207,BEARDEN 2 1,D,3.50,3.50,0.40,0.400,AR
110211,BEARDEN 3 1,D,3.30,3.30,0.90,0.900,AR
110212,BEARDEN 3 2,1,3.40,3.40,1.10,1.100,AR
110215,CARTHAGE 1 1,D,2.30,2.30,0.30,0.300,AR
110216,CARTHAGE 1 2,1,2.50,2.50,0.60,0.600,AR
110219,CHIDESTER 1 1,D,3.70,3.70,0.50,0.500,AR
110220,CHIDESTER 1 2,1,3.10,3.10,0.60,0.600,AR
110223,CHIDESTER 2 1,D,2.50,2.50,0.60,0.600,AR
110227,HAMPTON 1 1,D,4.10,4.10,1.20,1.200,AR
110228,HAMPTON 1 2,1,4.70,4.70,0.70,0.700,AR
110231,HAMPTON 2 1,D,4.50,4.50,1.00,1.000,AR
110235,HAMPTON 3 1,D,4.20,4.20,1.80,1.800,AR
110239,JUNCTION CITY 2 1,D,3.50,3.50,0.60,0.600,AR
110243,MC NEIL 1 1,D,1.30,1.30,0.30,0.300,AR
110244,MC NEIL 1 2,1,1.50,1.50,0.80,0.800,AR
110247,MC NEIL 2 1,D,2.90,2.90,0.10,0.100,AR
110251,MOUNT HOLLY 1,D,1.80,1.80,0.60,0.600,AR
110255,NORPHLET 1,D,3.40,3.40,0.20,0.200,AR
110256,NORPHLET 2,1,3.30,3.30,0.80,0.800,AR
110259,STEPHENS 1 1,D,2.40,2.40,0.70,0.700,AR
110260,STEPHENS 1 2,1,1.90,1.90,0.70,0.700,AR
110264,STEPHENS 2 2,D,3.50,3.50,0.20,0.200,AR
110268,STRONG 1 1,D,2.80,2.80,0.20,0.200,AR
110269,STRONG 1 2,1,2.80,2.80,0.60,0.600,AR
110272,STRONG 2 1,D,5.40,5.40,1.00,1.000,AR
110276,BLEVINS 1 1,D,1.00,1.00,0.00,0.000,AR
110277,BLEVINS 1 2,1,0.90,0.90,0.30,0.300,AR
110280,BLEVINS 2 1,D,1.60,1.60,0.60,0.600,AR
110284,BRADLEY 1 1,D,1.70,1.70,0.60,0.600,AR
110288,BRADLEY 2 1,D,1.50,1.50,0.60,0.600,AR
110292,BRADLEY 3 1,D,1.50,1.50,0.10,0.100,AR
110296,BUCKNER 1 1,D,2.80,2.80,0.40,0.400,AR
110300,DIERKS 1,D,9.90,9.90,2.30,2.300,AR
110304,DODDRIDGE 1 1,D,1.90,1.90,0.30,0.300,AR
110305,DODDRIDGE 1 2,1,1.50,1.50,0.00,0.000,AR
110308,DODDRIDGE 2 1,D,3.90,3.90,0.90,0.900,AR
110309,DODDRIDGE 2 2,1,2.70,2.70,0.40,0.400,AR
110313,EMMET 2,D,5.10,5.10,0.60,0.600,AR
110314,EMMET 3,1,5.20,5.20,1.90,1.900,AR
110317,FOREMAN 1 1,D,3.80,3.80,1.00,1.000,AR
110318,FOREMAN 1 2,1,2.70,2.70,0.50,0.500,AR
110321,FOREMAN 2 1,D,3.00,3.00,0.90,0.900,AR
110322,FOREMAN 2 2,1,3.30,3.30,0.90,0.900,AR
110325,FOREMAN 3 1,D,4.30,4.30,1.50,1.500,AR
110326,FOREMAN 3 2,1,3.90,3.90,0.60,0.600,AR
110329,FOUKE 1 1,D,7.90,7.90,1.00,1.000,AR
110333,FOUKE 2 1,D,5.90,5.90,1.10,1.100,AR
