Load
Number of Bus,Name of Bus,ID,Area Name of Load,AGC,MW,Cost Shift $/MWh,Cost Multiplier,Hourly Benefit,MW Marg. Cost of Bus,HDR::Load_GenICost:1,Initial MW,Initial Cost,Delta MW,Delta Cost,Min MW,Max MW,# of Benefit Curve Points,Profit $/hr
110003,MARION 1 3,D,AR,YES,8.6,0.000,1.000,569.43,-1.49,30.00,8.6,569.43,0.0,0.00,0.0,18.0,4,582.22
110004,MARION 1 4,1,AR,YES,7.1,0.000,1.000,445.17,-1.49,16.00,7.1,445.17,0.0,0.00,0.0,18.0,4,455.74
110007,ROSEDALE 1 1,D,AR,YES,3.7,0.000,1.000,316.56,-1.49,51.53,3.7,316.56,0.0,0.00,0.0,7.8,4,322.07
110011,ROSEDALE 2 1,D,AR,YES,1.7,0.000,1.000,138.41,-1.50,39.47,1.7,138.41,0.0,-0.00,0.0,5.9,4,140.96
110012,ROSEDALE 2 2,1,AR,YES,2.9,0.000,1.000,166.86,-1.50,31.25,2.9,166.86,0.0,0.00,0.0,5.9,4,171.21
110015,ROSEDALE 3 1,D,AR,YES,2.7,0.000,1.000,141.86,-1.49,20.04,2.7,141.86,0.0,-0.00,0.0,5.9,4,145.88
110016,ROSEDALE 3 2,1,AR,YES,2.0,0.000,1.000,66.51,-1.49,9.10,2.0,66.51,0.0,0.00,0.0,5.9,4,69.49
110019,PROTEM 1 1,D,AR,YES,1.4,0.000,1.000,106.34,-1.47,32.63,1.4,106.34,0.0,0.00,0.0,3.3,4,108.39
110020,PROTEM 1 2,1,AR,YES,1.6,0.000,1.000,38.99,-1.47,15.17,1.6,38.99,0.0,0.00,0.0,3.3,4,41.33
110023,PROTEM 2 1,D,AR,YES,2.1,0.000,1.000,85.52,-1.47,27.47,2.1,85.52,0.0,0.00,0.0,4.7,4,88.60
110024,PROTEM 2 2,1,AR,YES,2.4,0.000,1.000,97.12,-1.47,14.89,2.4,97.12,0.0,0.00,0.0,4.7,4,100.64
110029,PINE BLUFF 1 3,D,AR,YES,67.4,0.000,1.000,1807.47,-1.46,17.57,67.4,1807.47,0.0,-0.00,0.0,136.4,4,1905.88
110033,PINE BLUFF 2 1,D,AR,YES,27.3,0.000,1.000,820.04,-1.46,9.10,27.3,820.04,0.0,-0.00,0.0,68.2,4,859.88
110038,PINE BLUFF 3 2,D,AR,YES,33.9,0.000,1.000,1317.88,-1.46,33.47,33.9,1317.88,0.0,0.00,0.0,68.2,4,1367.32
110039,PINE BLUFF 3 3,1,AR,YES,32.6,0.000,1.000,360.49,-1.46,3.18,32.6,360.49,0.0,0.00,0.0,68.2,4,408.17
110042,BANKS 1,D,AR,YES,2.8,0.000,1.000,72.08,-1.48,9.10,2.8,72.08,0.0,-0.00,0.0,6.0,4,76.22
110043,BANKS 2,1,AR,YES,3.0,0.000,1.000,90.47,-1.48,9.10,3.0,90.47,0.0,-0.00,0.0,6.0,4,94.91
110046,CROSSETT 1 1,D,AR,YES,14.9,0.000,1.000,595.98,-1.49,32.00,14.9,595.98,0.0,0.00,0.0,32.7,4,618.23
110052,CROSSETT 2 3,D,AR,YES,12.1,0.000,1.000,236.35,-1.49,16.53,12.1,236.35,0.0,0.00,0.0,32.7,4,254.42
110058,CROSSETT 3 1,D,AR,YES,16.9,0.000,1.000,823.85,-1.50,17.34,16.9,823.85,0.0,0.00,0.0,32.7,4,849.16
110062,DUMAS 1 1,D,AR,YES,7.0,0.000,1.000,567.95,-1.48,22.52,7.0,567.95,0.0,-0.00,0.0,17.4,4,578.31
110067,DUMAS 2 2,D,AR,YES,5.8,0.000,1.000,564.16,-1.48,67.54,5.8,564.16,0.0,0.00,0.0,17.6,4,572.72
110071,DUMAS 3 1,D,AR,YES,6.8,0.000,1.000,479.16,-1.47,16.62,6.8,479.16,0.0,0.00,0.0,17.9,4,489.19
110075,GRADY 1 1,D,AR,YES,4.6,0.000,1.000,252.23,-1.46,5.22,4.6,252.23,0.0,0.00,0.0,11.3,4,258.96
110076,GRADY 1 2,1,AR,YES,3.7,0.000,1.000,303.62,-1.46,47.00,3.7,303.62,0.0,0.00,0.0,11.3,4,309.04
110080,GRADY 2 2,D,AR,YES,9.2,0.000,1.000,246.76,-1.46,9.10,9.2,246.76,0.0,0.00,0.0,22.5,4,260.20
110081,GRADY 2 3,1,AR,YES,10.3,0.000,1.000,223.66,-1.46,9.10,10.3,223.66,0.0,-0.00,0.0,22.5,4,238.73
110084,HAMBURG 2 1,D,AR,YES,9.3,0.000,1.000,250.55,-1.50,17.32,9.3,250.55,0.0,0.00,0.0,17.9,4,264.48
110090,HAMBURG 3 3,D,AR,YES,9.2,0.000,1.000,375.42,-1.50,10.50,9.2,375.42,0.0,-0.00,0.0,17.9,4,389.19
110094,HAMBURG 4 1,D,AR,YES,10.1,0.000,1.000,656.53,-1.50,40.47,10.1,656.53,0.0,-0.00,0.0,19.8,4,671.67
110098,HERMITAGE 1 1,D,AR,YES,2.8,0.000,1.000,96.04,-1.49,25.78,2.8,96.04,0.0,0.00,0.0,5.6,4,100.21
110099,HERMITAGE 1 2,1,AR,YES,2.0,0.000,1.000,113.83,-1.49,22.91,2.0,113.83,0.0,-0.00,0.0,5.6,4,116.81
110102,HERMITAGE 2 1,D,AR,YES,2.3,0.000,1.000,158.12,-1.49,26.05,2.3,158.12,0.0,-0.00,0.0,5.6,4,161.54
110106,HERMITAGE 3 1,D,AR,YES,2.3,0.000,1.000,74.43,-1.49,10.16,2.3,74.43,0.0,0.00,0.0,5.6,4,77.85
110110,KINGSLAND 1 1,D,AR,YES,0.9,0.000,1.000,33.72,-1.46,34.72,0.9,33.72,0.0,-0.00,0.0,3.0,4,35.03
110114,KINGSLAND 2 1,D,AR,YES,0.9,0.000,1.000,33.27,-1.46,30.00,0.9,33.27,0.0,0.00,0.0,3.0,4,34.58
110118,KINGSLAND 3 1,D,AR,YES,2.2,0.000,1.000,132.91,-1.46,17.31,2.2,132.91,0.0,-0.00,0.0,5.6,4,136.14
110119,KINGSLAND 3 2,1,AR,YES,2.1,0.000,1.000,1181.20,-1.47,31.27,2.1,1181.20,0.0,0.00,0.0,5.6,4,1184.27
110122,LAKE VILLAGE 1 1,D,AR,YES,6.2,0.000,1.000,186.60,-1.50,30.27,6.2,186.60,0.0,0.00,0.0,13.6,4,195.89
110123,LAKE VILLAGE 1 2,1,AR,YES,6.9,0.000,1.000,360.18,-1.50,19.80,6.9,360.18,0.0,0.00,0.0,13.6,4,370.53
110126,LAKE VILLAGE 2 1,D,AR,YES,6.4,0.000,1.000,451.73,-1.50,31.76,6.4,451.73,0.0,0.00,0.0,13.6,4,461.31
110127,LAKE VILLAGE 2 2,1,AR,YES,6.4,0.000,1.000,266.41,-1.50,22.56,6.4,266.41,0.0,-0.00,0.0,13.6,4,276.00
110131,LAKE VILLAGE 3 2,D,AR,YES,6.5,0.000,1.000,292.95,-1.49,20.77,6.5,292.95,0.0,0.00,0.0,13.6,4,302.62
110132,LAKE VILLAGE 3 3,1,AR,YES,7.4,0.000,1.000,406.75,-1.49,17.56,7.4,406.75,0.0,0.00,0.0,13.6,4,417.76
110135,MC GEHEE 1 1,D,AR,YES,5.5,0.000,1.000,248.94,-1.49,30.78,5.5,248.94,0.0,-0.00,0.0,12.4,4,257.12
110139,MC GEHEE 2 1,D,AR,YES,6.0,0.000,1.000,161.74,-1.49,9.10,6.0,161.74,0.0,-0.00,0.0,12.4,4,170.68
110140,MC GEHEE 2 2,1,AR,YES,5.9,0.000,1.000,155.75,-1.49,9.10,5.9,155.75,0.0,-0.00,0.0,12.4,4,164.55
110143,MC GEHEE 3 1,D,AR,YES,6.2,0.000,1.000,182.30,-1.49,11.94,6.2,182.30,0.0,-0.00,0.0,12.4,4,191.52
110147,MONTICELLO 5 1,D,AR,YES,14.6,0.000,1.000,959.00,-1.49,24.44,14.6,959.00,0.0,0.00,0.0,30.5,4,980.74
110148,MONTICELLO 5 2,1,AR,YES,11.4,0.000,1.000,1050.05,-1.49,20.05,11.4,1050.05,0.0,-0.00,0.0,30.5,4,1067.04
110151,MONTICELLO 6 1,D,AR,YES,11.2,0.000,1.000,902.13,-1.48,36.68,11.2,902.13,0.0,-0.00,0.0,30.5,4,918.75
110155,MONTICELLO 7 1,D,AR,YES,10.0,0.000,1.000,694.70,-1.48,30.03,10.0,694.70,0.0,-0.00,0.0,30.5,4,709.49
110156,MONTICELLO 7 2,1,AR,YES,13.5,0.000,1.000,917.57,-1.48,22.29,13.5,917.57,0.0,-0.00,0.0,30.5,4,937.58
110160,MONTICELLO 8 2,D,AR,YES,12.0,0.000,1.000,298.37,-1.48,9.10,12.0,298.37,0.0,0.00,0.0,30.5,4,316.16
110161,MONTICELLO 8 3,1,AR,YES,11.6,0.000,1.000,893.95,-1.48,30.00,11.6,893.95,0.0,-0.00,0.0,30.5,4,911.18
110164,MONTROSE 1 1,D,AR,YES,1.9,0.000,1.000,124.29,-1.50,16.85,1.9,124.29,0.0,0.00,0.0,3.9,4,127.14
110168,NEW EDINBURG 1,D,AR,YES,2.0,0.000,1.000,162.96,-1.47,50.36,2.0,162.96,0.0,0.00,0.0,5.1,4,165.89
110172,STAR CITY 1 1,D,AR,YES,8.8,0.000,1.000,514.64,-1.47,7.03,8.8,514.64,0.0,0.00,0.0,21.9,4,527.56
110177,STAR CITY 2 2,D,AR,YES,8.4,0.000,1.000,554.97,-1.47,25.54,8.4,554.97,0.0,-0.00,0.0,21.9,4,567.31
110181,STAR CITY 3 1,D,AR,YES,7.6,0.000,1.000,809.36,-1.47,45.59,7.6,809.36,0.0,-0.00,0.0,21.9,4,820.50
110185,WARREN 1 1,D,AR,YES,9.0,0.000,1.000,395.46,-1.49,28.99,9.0,395.46,0.0,-0.00,0.0,22.9,4,408.83
110186,WARREN 1 2,1,AR,YES,9.8,0.000,1.000,260.58,-1.49,9.10,9.8,260.58,0.0,0.00,0.0,22.9,4,275.15
110189,WARREN 2 1,D,AR,YES,9.2,0.000,1.000,727.91,-1.48,33.83,9.2,727.91,0.0,-0.00,0.0,22.9,4,741.55
110190,WARREN 2 2,1,AR,YES,10.3,0.000,1.000,251.79,-1.48,9.10,10.3,251.79,0.0,-0.00,0.0,22.9,4,267.08
110194,WARREN 3 2,D,AR,YES,8.3,0.000,1.000,638.22,-1.48,23.23,8.3,638.22,0.0,0.00,0.0,22.9,4,650.54
110198,WATSON 1 1,D,AR,YES,2.3,0.000,1.000,61.69,-1.48,9.10,2.3,61.69,0.0,-0.00,0.0,4.5,4,65.10
110199,WATSON 1 2,1,AR,YES,2.2,0.000,1.000,246.06,-1.48,25.30,2.2,246.06,0.0,-0.00,0.0,4.5,4,249.32
110203,BEARDEN 1 2,D,AR,YES,6.3,0.000,1.000,195.06,-1.46,9.10,6.3,195.06,0.0,-0.00,0.0,12.5,4,204.23
110207,BEARDEN 2 1,D,AR,YES,3.5,0.000,1.000,914.26,-1.45,26.66,3.5,914.26,0.0,0.00,0.0,6.9,4,919.35
110211,BEARDEN 3 1,D,AR,YES,3.3,0.000,1.000,142.14,-1.46,6.91,3.3,142.14,0.0,0.00,0.0,6.6,4,146.95
110212,BEARDEN 3 2,1,AR,YES,3.4,0.000,1.000,88.06,-1.46,19.44,3.4,88.06,0.0,-0.00,0.0,6.6,4,93.02
110215,CARTHAGE 1 1,D,AR,YES,2.3,0.000,1.000,59.81,-1.46,11.14,2.3,59.81,0.0,0.00,0.0,4.4,4,63.17
110216,CARTHAGE 1 2,1,AR,YES,2.5,0.000,1.000,182.45,-1.46,28.78,2.5,182.45,0.0,-0.00,0.0,4.4,4,186.11
110219,CHIDESTER 1 1,D,AR,YES,3.7,0.000,1.000,171.27,-1.45,27.75,3.7,171.27,0.0,-0.00,0.0,7.6,4,176.63
110220,CHIDESTER 1 2,1,AR,YES,3.1,0.000,1.000,194.16,-1.45,25.64,3.1,194.16,0.0,-0.00,0.0,7.6,4,198.64
110223,CHIDESTER 2 1,D,AR,YES,2.5,0.000,1.000,102.81,-1.44,6.78,2.5,102.81,0.0,-0.00,0.0,4.8,4,106.41
110227,HAMPTON 1 1,D,AR,YES,4.1,0.000,1.000,208.38,-1.48,16.24,4.1,208.38,0.0,0.00,0.0,9.7,4,214.43
110228,HAMPTON 1 2,1,AR,YES,4.7,0.000,1.000,204.57,-1.48,9.10,4.7,204.57,0.0,-0.00,0.0,9.7,4,211.51
110231,HAMPTON 2 1,D,AR,YES,4.5,0.000,1.000,149.68,-1.48,9.10,4.5,149.68,0.0,0.00,0.0,9.9,4,156.35
110235,HAMPTON 3 1,D,AR,YES,4.2,0.000,1.000,315.45,-1.48,40.53,4.2,315.45,0.0,-0.00,0.0,8.5,4,321.67
110239,JUNCTION CITY 2 1,D,AR,YES,3.5,0.000,1.000,187.99,-1.48,19.02,3.5,187.99,0.0,0.00,0.0,6.9,4,193.17
110243,MC NEIL 1 1,D,AR,YES,1.3,0.000,1.000,39.06,-1.45,9.10,1.3,39.06,0.0,-0.00,0.0,2.8,4,40.95
110244,MC NEIL 1 2,1,AR,YES,1.5,0.000,1.000,45.25,-1.45,9.97,1.5,45.25,0.0,-0.00,0.0,2.8,4,47.43
110247,MC NEIL 2 1,D,AR,YES,2.9,0.000,1.000,210.36,-1.45,28.82,2.9,210.36,0.0,-0.00,0.0,5.5,4,214.57
110251,MOUNT HOLLY 1,D,AR,YES,1.8,0.000,1.000,79.16,-1.46,10.50,1.8,79.16,0.0,0.00,0.0,3.6,4,81.79
110255,NORPHLET 1,D,AR,YES,3.4,0.000,1.000,169.28,-1.46,11.47,3.4,169.28,0.0,-0.00,0.0,7.1,4,174.25
110256,NORPHLET 2,1,AR,YES,3.3,0.000,1.000,99.96,-1.46,9.10,3.3,99.96,0.0,0.00,0.0,7.1,4,104.79
110259,STEPHENS 1 1,D,AR,YES,2.4,0.000,1.000,133.28,-1.46,25.36,2.4,133.28,0.0,0.00,0.0,5.0,4,136.78
110260,STEPHENS 1 2,1,AR,YES,1.9,0.000,1.000,138.94,-1.46,30.00,1.9,138.94,0.0,-0.00,0.0,5.0,4,141.72
110264,STEPHENS 2 2,D,AR,YES,3.5,0.000,1.000,46.44,-1.45,4.32,3.5,46.44,0.0,-0.00,0.0,9.9,4,51.51
110268,STRONG 1 1,D,AR,YES,2.8,0.000,1.000,139.29,-1.49,25.98,2.8,139.29,0.0,0.00,0.0,5.7,4,143.46
110269,STRONG 1 2,1,AR,YES,2.8,0.000,1.000,195.33,-1.49,16.52,2.8,195.33,0.0,0.00,0.0,5.7,4,199.50
110272,STRONG 2 1,D,AR,YES,5.4,0.000,1.000,466.85,-1.49,26.95,5.4,466.85,0.0,0.00,0.0,11.5,4,474.88
110276,BLEVINS 1 1,D,AR,YES,1.0,0.000,1.000,75.55,-1.42,40.24,1.0,75.55,0.0,0.00,0.0,1.7,4,76.97
110277,BLEVINS 1 2,1,AR,YES,0.9,0.000,1.000,57.43,-1.42,24.16,0.9,57.43,0.0,-0.00,0.0,1.7,4,58.71
110280,BLEVINS 2 1,D,AR,YES,1.6,0.000,1.000,72.78,-1.42,8.29,1.6,72.78,0.0,0.00,0.0,3.4,4,75.05
110284,BRADLEY 1 1,D,AR,YES,1.7,0.000,1.000,115.51,-1.45,33.81,1.7,115.51,0.0,-0.00,0.0,3.5,4,117.98
110288,BRADLEY 2 1,D,AR,YES,1.5,0.000,1.000,135.86,-1.45,55.12,1.5,135.86,0.0,-0.00,0.0,3.5,4,138.04
110292,BRADLEY 3 1,D,AR,YES,1.5,0.000,1.000,140.19,-1.44,54.24,1.5,140.19,0.0,-0.00,0.0,3.5,4,142.35
110296,BUCKNER 1 1,D,AR,YES,2.8,0.000,1.000,1642.46,-1.45,25.76,2.8,1642.46,0.0,0.00,0.0,6.5,4,1646.52
110300,DIERKS 1,D,AR,YES,9.9,0.000,1.000,547.31,-1.40,22.74,9.9,547.31,0.0,-0.00,0.0,18.1,4,561.22
110304,DODDRIDGE 1 1,D,AR,YES,1.9,0.000,1.000,85.85,-1.44,10.50,1.9,85.85,0.0,-0.00,0.0,4.0,4,88.59
110305,DODDRIDGE 1 2,1,AR,YES,1.5,0.000,1.000,854.76,-1.44,30.00,1.5,854.76,0.0,0.00,0.0,4.0,4,856.92
110308,DODDRIDGE 2 1,D,AR,YES,3.9,0.000,1.000,74.33,-1.44,11.62,3.9,74.33,0.0,-0.00,0.0,7.9,4,79.96
110309,DODDRIDGE 2 2,1,AR,YES,2.7,0.000,1.000,287.57,-1.44,64.76,2.7,287.57,0.0,0.00,0.0,7.9,4,291.46
110313,EMMET 2,D,AR,YES,5.1,0.000,1.000,56.39,-1.44,3.18,5.1,56.39,0.0,-0.00,0.0,10.6,4,63.71
110314,EMMET 3,1,AR,YES,5.2,0.000,1.000,310.93,-1.44,30.28,5.2,310.93,0.0,-0.00,0.0,10.6,4,318.40
110317,FOREMAN 1 1,D,AR,YES,3.8,0.000,1.000,324.67,-1.41,42.18,3.8,324.67,0.0,0.00,0.0,7.6,4,330.03
110318,FOREMAN 1 2,1,AR,YES,2.7,0.000,1.000,242.57,-1.41,29.08,2.7,242.57,0.0,-0.00,0.0,7.6,4,246.38
110321,FOREMAN 2 1,D,AR,YES,3.0,0.000,1.000,1364.05,-1.41,15.46,3.0,1364.05,0.0,-0.00,0.0,7.6,4,1368.29
110322,FOREMAN 2 2,1,AR,YES,3.3,0.000,1.000,50.41,-1.41,8.32,3.3,50.41,0.0,-0.00,0.0,7.6,4,55.08
110325,FOREMAN 3 1,D,AR,YES,4.3,0.000,1.000,2009.81,-1.41,26.43,4.3,2009.81,0.0,-0.00,0.0,8.3,4,2015.87
110326,FOREMAN 3 2,1,AR,YES,3.9,0.000,1.000,125.97,-1.41,11.08,3.9,125.97,0.0,-0.00,0.0,8.3,4,131.47
110329,FOUKE 1 1,D,AR,YES,7.9,0.000,1.000,1348.10,-1.44,43.95,7.9,1348.10,0.0,0.00,0.0,13.8,4,1359.47
110333,FOUKE 2 1,D,AR,YES,5.9,0.000,1.000,250.70,-1.44,9.84,5.9,250.70,0.0,0.00,0.0,13.8,4,259.19
110338,FOUKE 3 2,D,AR,YES,6.9,0.000,1.000,400.55,-1.44,30.00,6.9,400.55,0.0,-0.00,0.0,13.8,4,410.46
110342,HORATIO 1 1,D,AR,YES,3.2,0.000,1.000,209.90,-1.40,32.02,3.2,209.90,0.0,0.00,0.0,5.9,4,214.39
110343,HORATIO 1 2,1,AR,YES,2.9,0.000,1.000,69.00,-1.40,9.10,2.9,69.00,0.0,-0.00,0.0,5.9,4,73.08
110346,HORATIO 2 1,D,AR,YES,2.8,0.000,1.000,184.26,-1.40,30.00,2.8,184.26,0.0,-0.00,0.0,5.9,4,188.19
110351,HORATIO 3 2,D,AR,YES,4.0,0.000,1.000,291.94,-1.40,33.43,4.0,291.94,0.0,0.00,0.0,7.5,4,297.55
110355,LEWISVILLE 1 1,D,AR,YES,3.5,0.000,1.000,264.62,-1.44,29.15,3.5,264.62,0.0,-0.00,0.0,6.3,4,269.66
110356,LEWISVILLE 1 2,1,AR,YES,3.4,0.000,1.000,77.29,-1.44,9.10,3.4,77.29,0.0,-0.00,0.0,6.3,4,82.19
110359,LEWISVILLE 2 1,D,AR,YES,3.5,0.000,1.000,195.44,-1.44,48.82,3.5,195.44,0.0,-0.00,0.0,12.6,4,200.49
110360,NASHVILLE 6 1,D,AR,YES,13.0,0.000,1.000,407.75,-1.41,19.73,13.0,407.75,0.0,-0.00,0.0,26.7,4,426.05
110362,NASHVILLE 7 2,D,AR,YES,8.2,0.000,1.000,899.60,-1.40,81.60,8.2,899.60,0.0,-0.00,0.0,26.7,4,911.08
110363,NASHVILLE 8 1,D,AR,YES,11.2,0.000,1.000,949.35,-1.41,45.24,11.2,949.35,0.0,-0.00,0.0,26.7,4,965.15
110364,OGDEN 1 1,D,AR,YES,1.3,0.000,1.000,103.89,-1.42,44.60,1.3,103.89,0.0,-0.00,0.0,2.9,4,105.74
110365,OZAN 1,D,AR,YES,2.9,0.000,1.000,183.82,-1.42,30.00,2.9,183.82,0.0,0.00,0.0,5.6,4,187.93
110366,ROSSTON 1 1,D,AR,YES,4.8,0.000,1.000,236.80,-1.45,18.60,4.8,236.80,0.0,-0.00,0.0,9.0,4,243.75
110367,ROSSTON 2 1,D,AR,YES,2.0,0.000,1.000,46.76,-1.45,15.86,2.0,46.76,0.0,0.00,0.0,4.5,4,49.66
110368,SARATOGA 3 1,D,AR,YES,1.6,0.000,1.000,130.92,-1.42,32.80,1.6,130.92,0.0,-0.00,0.0,3.8,4,133.19
110369,HOT SPRINGS VILLAGE 1 1,D,AR,YES,11.1,0.000,1.000,416.44,-1.44,28.02,11.1,416.44,0.0,-0.00,0.0,30.8,4,432.46
110370,HOT SPRINGS VILLAGE 2 1,D,AR,YES,15.4,0.000,1.000,825.13,-1.44,14.93,15.4,825.13,0.0,0.00,0.0,30.8,4,847.36
110371,HOT SPRINGS VILLAGE 3 1,D,AR,YES,15.0,0.000,1.000,394.54,-1.44,9.10,15.0,394.54,0.0,0.00,0.0,30.8,4,416.16
110373,HOT SPRINGS VILLAGE 4 2,D,AR,YES,13.0,0.000,1.000,970.49,-1.44,33.82,13.0,970.49,0.0,-0.00,0.0,30.8,4,989.20
110375,AMITY 1 2,D,AR,YES,6.7,0.000,1.000,408.94,-1.42,27.39,6.7,408.94,0.0,-0.00,0.0,13.9,4,418.44
110378,AMITY 2 1,D,AR,YES,5.1,0.000,1.000,371.27,-1.42,36.39,5.1,371.27,0.0,0.00,0.0,9.7,4,378.52
110379,AMITY 3 1,D,AR,YES,4.8,0.000,1.000,385.73,-1.42,23.03,4.8,385.73,0.0,0.00,0.0,9.7,4,392.55
110380,BONNERDALE 1 1,D,AR,YES,0.8,0.000,1.000,101.85,-1.42,80.83,0.8,101.85,0.0,0.00,0.0,4.3,4,102.99
110381,BONNERDALE 2 1,D,AR,YES,1.7,0.000,1.000,53.21,-1.42,26.09,1.7,53.21,0.0,-0.00,0.0,4.3,4,55.63
110382,COVE 1 1,D,AR,YES,2.7,0.000,1.000,147.20,-1.39,27.65,2.7,147.20,0.0,0.00,0.0,5.3,4,150.95
110383,COVE 2 1,D,AR,YES,1.9,0.000,1.000,73.42,-1.39,30.39,1.9,73.42,0.0,0.00,0.0,5.3,4,76.06
110384,COVE 3 1,D,AR,YES,3.0,0.000,1.000,281.15,-1.39,50.80,3.0,281.15,0.0,0.00,0.0,7.0,4,285.30
